"","dwc.taxonRemarks","idigbio.associateDeterminedBy","dwc.recordedBy","inhs.total_females","dwc.locationRemarks","dwc.startDayOfYear","idigbio.subgenus","dwc.footprintWKT","dwc.verbatimCoordinateSystem","dwc.day","inhs.locationTrs","dcterms.reference","dwc.waterBody","idigbio.recordIds","dwc.nomenclaturalCode","dwc.collectionID","dwc.county","dwc.georeferenceSources","dwc.georeferenceRemarks","dwc.family","dwc.dateIdentified","dwc.phylum","symbiota.verbatimScientificName","dwc.minimumElevationInMeters","row.number","dwc.coordinatePrecision","dwc.coordinateUncertaintyInMeters","idigbio.dateModified","dwc.associatedOccurrences","inhs.instars_Male","dwc.habitat","dwc.earliestEraOrLowestErathem","dwc.maximumDepthInMeters","dwc.infraspecificEpithet","dwc.lithostratigraphicTerms","dwc.georeferencedBy","idigbio.createdBy","idigbio.associatedRelationship","dwc.eventRemarks","idigbio.hostFamily","dwc.group","dwc.earliestEpochOrLowestSeries","dwc.identificationRemarks","dwc.relatedResourceID","dwc.fieldNotes","idigbio.associateCondition","dwc.order","idigbio.preparationCount","inhs.juv_undetermined","dwc.accessRights","dwc.institutionCode","dwc.dataGeneralizations","idigbio.preservative","dwc.scientificNameID","idigbio.associateAuthor","idigbio.recordId","dwc.originalNameUsage","dwc.verbatimElevation","idigbio.substrate","dwc.verbatimTaxonRank","dwc.lifeStage","dwc.earliestAgeOrLowestStage","dwc.bed","symbiotaverbatimScientificName","dwc.continent","dwc.taxonID","dwc.georeferenceVerificationStatus","dwc.identificationQualifier","inhs.vouchered","inhs.instars_Female","inhs.juv_males","dwc.taxonRank","dwc.month","idigbio.recordID","dwc.member","idigbio.etag","dwc.latestPeriodOrHighestSystem","dcterms.rights","dwc.samplingProtocol","dwc.geodeticDatum","dwc.samplingEffort","dwc.VerbatimEventDate","dwc.earliestPeriodOrLowestSystem","inhs.formII_females","dwc.dynamicProperties","dwc.datasetID","idigbio.barcodeValue","dwc.verbatimCoordinates","dwc.associatedReferences","dwc.georeferencedDate","dcterms.type","dwc.rights","dwc.country","dwc.disposition","dwc.endDayOfYear","dwc.fieldNumber","dwc.identificationID","idigbio.associateIdentifier","dwc.genus","dwc.eventTime","inhs.formI_males","dcterms.accessRights","dcterms.modified","dwc.nomenclaturalStatus","dwc.associatedSequences","fcc.superfamily","inhs.dead","dwc.collectionCode","dwc.preparation","dwc.occurrenceRemarks","dwc.subgenus","dwc.verbatimLongitude","dwc.occurrenceStatus","dwc.stateProvince","dwc.sex","dwc.verbatimEventDate","dwc.identificationVerificationStatus","dwc.reproductiveCondition","inhs.location_Stream","dwc.rightsHolder","idigbio.associateRelationship","dwc.higherClassification","idigbio.associateNotes","dwc.individualCount","idigbio.version","inhs.relic","dwc.datasetName","dwc.decimalLatitude","dwc.lowestBiostratigraphicZone","id","inhs.formII_males","dwc.latestAgeOrHighestStage","dcterms.references","dwc.countryCode","idigbio.determinationHistory","dwc.namePublishedIn","dwc.catalogNumber","dwc.nameAccordingTo","fcc.datePicked","dwc.formation","dwc.ownerInstitutionCode","idigbio.subfamily","dwc.identificationReferences","http...symbiota.org.terms.verbatimScientificName","inhs.live","dwc.institutionID","dwc.associatedTaxa","dwc.verbatimLatitude","dwc.year","dwc.establishmentMeans","dcterms.source","idigbio.uuid","dwc.latestEraOrHighestErathem","inhs.superfamily","dwc.verbatimSRS","dwc.georeferenceProtocol","dwc.namePublishedInID","dwc.scientificNameAuthorship","dwc.municipality","dwc.locationID","dwc.specificEpithet","dwc.eventID","fcc.subfamily","inhs.juv_females","dwc.class","dwc.vernacularName","dwc.verbatimDepth","inhs.location_Basin","inhs.total_Males","dwc.maximumElevationInMeters","dwc.occurrenceID","dwc.locality","dwc.preparations","dwc.individualID","dwc.identifiedBy","dwc.associatedMedia","dwc.behavior","dwc.previousIdentifications","idigbio.associatedFamily","dwc.eventDate","dwc.minimumDepthInMeters","dwc.recordNumber","dwc.locationAccordingTo","dcterms.language","dwc.otherCatalogNumbers","dwc.latestEpochOrHighestSeries","dwc.basisOfRecord","idigbio.tribe","dcterms.bibliographicCitation","dwc.scientificName","dwc.decimalLongitude","dwc.informationWithheld","dwc.kingdom","idigbio.associateCommonName","fcc.pickedBy","dwc.verbatimLocality","inhs.location_RiverMile","dwc.islandGroup","dwc.higherGeography","dcterms.rightsHolder","idigbio.endangeredStatus","dwc.island","dwc.typeStatus"
"103",NA,NA,"Gustav Paulay",NA,"",NA,NA,NA,"",18,NA,NA,"",NA,"",NA,"","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T13:33:00.241Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"082e65a68718ea13c44fea2f2bd6b350e53ed8ad",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Madagascar","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-13.2989,NA,"c4cd3915-039b-43d8-81fd-439a7cf235d3",NA,NA,"",NA,NA,NA,"7157-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2008,NA,NA,"c4cd3915-039b-43d8-81fd-439a7cf235d3",NA,NA,NA,"",NA,"Lesson",NA,"MGNW-28","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"B5A720EB-5CB7-4D77-834D-92A3BA8806AB","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",48.1472,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"104",NA,NA,"François Michonneau",NA,"",NA,NA,NA,"",5,NA,NA,"",NA,"",NA,"","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T13:52:08.008Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"1aec360374ebc1b805cb5c7bfcef0d3860b474cc",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"New Caledonia","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Province Sud","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-22.34229,NA,"c1e3996e-f1a0-484d-9575-e3f92fb4e4af",NA,NA,"",NA,NA,NA,"8669-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2009,NA,NA,"c1e3996e-f1a0-484d-9575-e3f92fb4e4af",NA,NA,NA,"",NA,"Lesson",NA,"NC09-St-1","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"E4631B47-2FC2-4D5C-978E-DD9DDD4E26BE","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",166.42765,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"108",NA,NA,"Kris Netchy & Alex Kerr",NA,"",NA,NA,NA,"",30,NA,NA,"",NA,"",NA,"Yap State","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T13:05:14.520Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"1bb9701ba3b8a95fd423b6f957f0a45cdeecd645",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Federated States of Micronesia","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Caroline Islands","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,9.51362,NA,"3d15bd8e-2030-4415-bbe7-f6025c406dc8",NA,NA,"",NA,NA,NA,"5912-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2007,NA,NA,"3d15bd8e-2030-4415-bbe7-f6025c406dc8",NA,NA,NA,"",NA,"Lesson",NA,"AK-Yap-02","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"8168E09F-F04F-4487-9355-6A0ACE72D86B","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",138.13182,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"124",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"Majuro Atoll","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T09:06:28.022Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"195505042511a9599569fe33e4779377f0b6bc33",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Marshall Islands","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Majuro Atoll","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"c6a0a4dc-d21b-457d-95f4-9d029b29a3a5",NA,NA,"",NA,NA,NA,"12627-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",1993,NA,NA,"c6a0a4dc-d21b-457d-95f4-9d029b29a3a5",NA,NA,NA,"",NA,"Lesson",NA,"UGI-1993-5","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"AAF92631-4449-4702-A79F-B5C0D0A05787","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"140",NA,NA,"François Michonneau, Masami Obuchi",NA,"",NA,NA,NA,"",7,NA,NA,"",NA,"",NA,"Okinawa","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T11:46:00.120Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"28852f5a3a9bd37a62ffff7ae8c6fecc2eb35cb3",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Japan","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Ryukyus","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,26.32577,NA,"3cc43b15-0be3-4955-a411-f24187985ba1",NA,NA,"",NA,NA,NA,"10936-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2011,NA,NA,"3cc43b15-0be3-4955-a411-f24187985ba1",NA,NA,NA,"",NA,"Lesson",NA,"FMOK11-St-16","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"8E6224FC-D245-4C42-BE93-0779DD35E330","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",127.744874,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"195",NA,NA,"Kris Netchy & Alex Kerr",NA,"",NA,NA,NA,"",24,NA,NA,"",NA,"",NA,"","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T12:08:29.012Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"00aa41a0026f26354719d72521124db096cfef91",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Philippines","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Negros Oriental","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,9.60988,NA,"7a5f798b-bdd3-49f8-bc36-b5522a4d2cab",NA,NA,"",NA,NA,NA,"5706-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2006,NA,NA,"7a5f798b-bdd3-49f8-bc36-b5522a4d2cab",NA,NA,NA,"",NA,"Lesson",NA,"SEMP-07","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"E2AAF2F0-C3EC-4E22-8068-930746B398BF","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",123.17229,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"224",NA,NA,"Machel Malay",NA,"",NA,NA,NA,"",15,NA,NA,"",NA,"",NA,"","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T17:05:04.047Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"e51b6821609a18c9a6ce483742ca5166cfaa3119",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Oman","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,23.521448,NA,"3980a8f0-acfa-46fa-82ef-7398ead99234",NA,NA,"",NA,NA,NA,"9119-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2008,NA,NA,"3980a8f0-acfa-46fa-82ef-7398ead99234",NA,NA,NA,"",NA,"Lesson",NA,"MOM-01","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"A755D484-A982-41A1-86AC-3706CE36ABA8","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",58.731182,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"246",NA,NA,"François Michonneau",NA,"",NA,NA,NA,"",7,NA,NA,"",NA,"",NA,"","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T18:29:29.505Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"911ac830c8a4f108a637b3054679d6d0e96affa6",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Australia","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Queensland","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-14.6811,NA,"672f4c0c-c77b-475b-977e-121be3c86a33",NA,NA,"",NA,NA,NA,"8083-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2009,NA,NA,"672f4c0c-c77b-475b-977e-121be3c86a33",NA,NA,NA,"",NA,"Lesson",NA,"AUST-ST-003","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"A4F3ED89-4352-4CCC-8C40-9F82A6772897","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",145.4725,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"262",NA,NA,"François Michonneau, Daisuke Uyeno, Yoshihisa Fujita",NA,"",NA,NA,NA,"",16,NA,NA,"",NA,"",NA,"Okinawa","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T15:25:09.735Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"a4fd8fc3a28bc62155f2801e60c32b2e915b3211",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Japan","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Ryukyus","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,26.607234,NA,"0ac75fca-b536-44e9-8fdd-e7d0910f3ecc",NA,NA,"",NA,NA,NA,"10964-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2011,NA,NA,"0ac75fca-b536-44e9-8fdd-e7d0910f3ecc",NA,NA,NA,"",NA,"Lesson",NA,"FMOK11-St-23","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"D06B74D1-6EA7-4F09-9E8A-33F2D371D302","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",127.919026,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"284",NA,NA,"J. Jackson",NA,"",NA,NA,NA,"",27,NA,NA,"",NA,"",NA,"Kingman Reef","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T18:50:00.121Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,"817beb72e38871073a403cf6e4dfe1d2a8cae915",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"USA","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Line Islands","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6.39079,NA,"d1d0fe9e-e5ec-4ef9-aef5-cfdf4d969341",NA,NA,"",NA,NA,NA,"5431-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2005,NA,NA,"d1d0fe9e-e5ec-4ef9-aef5-cfdf4d969341",NA,NA,NA,"",NA,"Lesson",NA,"Clam Gardens-001","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"5A48F996-5935-4BFF-B176-7E779FDF4630","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",-162.34189,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"311",NA,NA,"C. Piotrowski and R. Van Syoc",NA,"sand, stony coral",262,NA,NA,"",19,NA,NA,"",NA,"",NA,"","","","Holothuriidae","2006-09-19 00:00:00.0","ECHINODERMATA",NA,NA,NA,NA,NA,"2014-03-20T20:05:08.796Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"CAS Palmyra Expedition 2006",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"CAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,9,NA,NA,"4277a389117c45627460928e127fbed0601b8a79",NA,NA,"SCUBA","",NA,NA,NA,NA,"",NA,NA,"5° 52.291' N, 162° 6.409' W","",NA,"PhysicalObject",NA,"","",NA,"CP-38",NA,NA,"Holothuria",NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,NA,"162°6.409'W",NA,"","","19 Sep 2006","",NA,NA,NA,NA,"Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae",NA,1,NA,NA,NA,5.8715167,NA,"de003d03-d44f-4a59-a2c4-52093d7ba983",NA,NA,"",NA,NA,NA,"174579.0",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"5°52.291'N",2006,NA,NA,"de003d03-d44f-4a59-a2c4-52093d7ba983",NA,NA,NA,"",NA,"Lesson, 1830",NA,"","edulis",NA,NA,NA,"",NA,"",NA,NA,NA,"urn:catalog:CAS:IZ:174579","kayak buoy off Sand Island at night","75% EtOH",NA,"C. Piotrowski","",NA,NA,NA,"2006-09-19 00:00:00.0",NA,"",NA,"en","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",-162.1068167,NA,"Animalia",NA,NA,NA,NA,NA,"PACIFIC OCEAN: Line Islands: Palmyra Atoll: Penguin Spit","",NA,NA,""
"384",NA,NA,"Yoshihisa Fujita, Daisuke Uyeno, Yoshida Ryuta",NA,"",NA,NA,NA,"",14,NA,NA,"",NA,"",NA,"Okinawa","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T09:31:29.402Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"81b7aecc81ce49dcf67359fcba40ce1519b59c98",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Japan","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Ryukyus","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,26.444199,NA,"5e9a1104-c235-4fc1-8e7d-808c728911b3",NA,NA,"",NA,NA,NA,"10989-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2011,NA,NA,"5e9a1104-c235-4fc1-8e7d-808c728911b3",NA,NA,NA,"",NA,"Lesson",NA,"FMOK11-St-21","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"302EC02D-AD75-4DB9-B775-7489A0F67F1A","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",127.772746,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"393",NA,NA,"Gustav Paulay",NA,"",NA,NA,NA,"",1,NA,NA,"",NA,"",NA,"","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T10:07:37.604Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,"1f02e76cdd20a1363d3c6fd297cd14248ca44113",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Djibouti","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,11.5266666666667,NA,"67b57e49-2311-416e-ae5f-efeef7050403",NA,NA,"",NA,NA,NA,"12046-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2012,NA,NA,"67b57e49-2311-416e-ae5f-efeef7050403",NA,NA,NA,"",NA,"Lesson",NA,"DJRS-015","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"BC02D647-D3E8-4729-91DE-C8661491668F","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",42.6583333333333,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
"397",NA,NA,"David Lane et al.",NA,"",NA,NA,NA,"",9,NA,NA,"",NA,"",NA,"","","","Holothuriidae","","",NA,NA,NA,NA,NA,"2014-09-12T10:23:14.267Z","",NA,"",NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,"6aab8f4aa25fddf31b21177fc34ab701d01bc7e8",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,"Vanuatu","",NA,"",NA,NA,"Holothuria",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,"",NA,"Sanma Province","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"b53fc180-d966-49db-a028-d1fe5a837178",NA,NA,"",NA,NA,NA,"5570-Echinodermata",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",2006,NA,NA,"b53fc180-d966-49db-a028-d1fe5a837178",NA,NA,NA,"",NA,"Lesson",NA,"Vanuatu-001","edulis",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,"4CE80CE1-3725-49F8-B0CF-EE658CDC2D56","","",NA,"","",NA,NA,NA,"",NA,"",NA,"","",NA,"PreservedSpecimen",NA,NA,"Holothuria edulis",NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,""
