"","dwc.scientificName","dwc.bed","dwc.habitat","idigbio.hostFamily","dwc.georeferencedBy","dwc.order","idigbio.substrate","inhs.juv_males","inhs.superfamily","dwc.day","dwc.dynamicProperties","idigbio.associateAuthor","symbiota.verbatimScientificName","inhs.formII_males","dwc.earliestAgeOrLowestStage","dwc.dataGeneralizations","dwc.verbatimLatitude","idigbio.barcodeValue","idigbio.preparationCount","dwc.georeferenceRemarks","dwc.countryCode","dwc.municipality","dwc.verbatimDepth","idigbio.version","inhs.total_Males","inhs.juv_undetermined","dwc.verbatimLongitude","inhs.location_Stream","dwc.fieldNotes","inhs.formI_males","dwc.establishmentMeans","idigbio.associateIdentifier","dwc.lifeStage","dwc.nameAccordingTo","http...symbiota.org.terms.verbatimScientificName","dwc.typeStatus","dwc.verbatimSRS","dwc.samplingEffort","dwc.minimumElevationInMeters","dwc.namePublishedInID","idigbio.associateCondition","dwc.family","dwc.associatedReferences","idigbio.tribe","dwc.identificationID","dcterms.language","inhs.vouchered","dwc.identificationReferences","dwc.occurrenceID","dwc.vernacularName","inhs.dead","dwc.namePublishedIn","dwc.institutionID","dwc.verbatimCoordinates","dwc.associatedTaxa","dwc.eventDate","dwc.endDayOfYear","dwc.kingdom","dwc.VerbatimEventDate","dwc.scientificNameAuthorship","dwc.island","dwc.disposition","dwc.lithostratigraphicTerms","dwc.month","dwc.decimalLongitude","dwc.coordinateUncertaintyInMeters","dwc.verbatimLocality","dwc.startDayOfYear","dwc.locationAccordingTo","dwc.recordedBy","dwc.continent","dwc.latestEpochOrHighestSeries","inhs.instars_Female","dwc.identificationRemarks","dwc.earliestEraOrLowestErathem","dwc.identificationQualifier","inhs.location_RiverMile","inhs.formII_females","inhs.relic","dwc.associatedMedia","fcc.subfamily","idigbio.createdBy","dwc.taxonID","dwc.verbatimEventDate","dwc.georeferenceVerificationStatus","dwc.reproductiveCondition","idigbio.recordIds","dwc.basisOfRecord","dcterms.bibliographicCitation","dwc.footprintWKT","fcc.datePicked","dcterms.accessRights","inhs.live","idigbio.subfamily","dwc.preparation","dwc.eventRemarks","dwc.latestEraOrHighestErathem","dwc.class","dwc.nomenclaturalCode","dwc.rights","dwc.maximumElevationInMeters","dwc.specificEpithet","dwc.preparations","idigbio.associatedFamily","idigbio.etag","dwc.occurrenceRemarks","fcc.pickedBy","dcterms.modified","dwc.sex","idigbio.recordId","dwc.individualID","dwc.georeferenceSources","dcterms.rights","dwc.locality","dwc.relatedResourceID","dwc.rightsHolder","idigbio.uuid","id","dwc.behavior","dwc.verbatimElevation","dwc.group","dwc.formation","dwc.subgenus","dwc.ownerInstitutionCode","inhs.location_Basin","dwc.accessRights","dwc.genus","dwc.taxonRank","idigbio.associatedRelationship","dcterms.type","dcterms.source","dwc.islandGroup","dwc.earliestEpochOrLowestSeries","dwc.collectionID","dwc.eventID","fcc.superfamily","dwc.waterBody","dwc.individualCount","dwc.phylum","inhs.instars_Male","dwc.coordinatePrecision","dwc.georeferenceProtocol","dwc.datasetID","idigbio.associateRelationship","dwc.lowestBiostratigraphicZone","idigbio.associateCommonName","idigbio.associateNotes","idigbio.preservative","idigbio.dateModified","row.number","dwc.collectionCode","dwc.member","dwc.latestAgeOrHighestStage","dwc.stateProvince","inhs.total_females","dcterms.rightsHolder","dwc.previousIdentifications","dwc.higherClassification","dwc.dateIdentified","dwc.associatedSequences","dwc.higherGeography","inhs.juv_females","dwc.occurrenceStatus","idigbio.determinationHistory","dwc.earliestPeriodOrLowestSystem","idigbio.associateDeterminedBy","dwc.associatedOccurrences","dwc.eventTime","dwc.locationID","symbiotaverbatimScientificName","dwc.datasetName","dwc.locationRemarks","dwc.geodeticDatum","dwc.year","idigbio.endangeredStatus","dwc.georeferencedDate","dwc.taxonRemarks","dwc.infraspecificEpithet","dwc.otherCatalogNumbers","idigbio.subgenus","dwc.verbatimCoordinateSystem","inhs.locationTrs","dwc.identificationVerificationStatus","dwc.latestPeriodOrHighestSystem","dwc.recordNumber","dwc.catalogNumber","dwc.samplingProtocol","dwc.maximumDepthInMeters","dwc.institutionCode","dwc.nomenclaturalStatus","dwc.country","dwc.minimumDepthInMeters","dwc.originalNameUsage","dwc.county","dcterms.references","idigbio.recordID","dwc.informationWithheld","dwc.verbatimTaxonRank","dwc.fieldNumber","dwc.scientificNameID","dwc.identifiedBy","dwc.decimalLatitude","dcterms.reference"
"117","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,27,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"2E8AD4AD-9BCD-4796-B008-F847B3148353",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,3,NA,NA,NA,NA,NA,"Cory Pittman","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"8d6ff5fccb523e7427cd3377148086609ff212ff",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"c34b79ff-3c5f-4e3d-b393-18bf1764de8d","c34b79ff-3c5f-4e3d-b393-18bf1764de8d",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T14:12:03.462Z",NA,"Invertebrate Zoology",NA,NA,"Hawaiian Islands",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"Pittman-1140327.1",NA,NA,"","",2014,NA,NA,NA,"","",NA,"",NA,"",NA,"","16127-Echinodermata","",NA,"FLMNH",NA,"USA",NA,NA,"Maui Island","",NA,NA,NA,"",NA,"",NA,NA
"523","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,22,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"5E9DF00A-9472-435A-97EF-8E51F09158DA",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,11,145.799164,NA,NA,NA,NA,"Frederik Leliaert, Zdenek Duris, Arthur Anker, Jessica Goodheart","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"50f7565b78ea6479e0ff7a0672beb2917bbd6731",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"1e3f2fc6-7b80-4568-babc-dd88de409d92","1e3f2fc6-7b80-4568-babc-dd88de409d92",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T13:32:27.071Z",NA,"Invertebrate Zoology",NA,NA,"Madang Province",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"PR81",NA,NA,"","",2012,NA,NA,NA,"","",NA,"",NA,"",NA,"","15467-Echinodermata","",NA,"FLMNH",NA,"Papua New Guinea",NA,NA,"","",NA,NA,NA,"",NA,"",-5.026834,NA
"532","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,3,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"65C1C942-653F-42FD-A07A-6F36431A1BEB",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,7,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"46575b3684e5270175b6b10f0b9f2594d791b837",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"75d14582-d69b-4fab-ad46-4292bad025dc","75d14582-d69b-4fab-ad46-4292bad025dc",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T17:20:56.206Z",NA,"Invertebrate Zoology",NA,NA,"Fiji Islands",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"BFIJI-372B",NA,NA,"","",1988,NA,NA,NA,"","",NA,"",NA,"",NA,"","2007-Echinodermata","",NA,"FLMNH",NA,"Fiji",NA,NA,"Viti Levu Island","",NA,NA,NA,"",NA,"",NA,NA
"540","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,1,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"F26894FE-D423-4D88-AB9E-C18006361C7B",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,1,NA,NA,NA,NA,NA,"Paulay, G.","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"d9e112f5c7500780463d21f7f9e3db125cefa0dc",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"28c5e2f0-8491-4114-bd72-f74304279627","28c5e2f0-8491-4114-bd72-f74304279627",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T18:19:20.131Z",NA,"Invertebrate Zoology",NA,NA,"New Caledonia",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"BNEC-001",NA,NA,"","",1999,NA,NA,NA,"","",NA,"",NA,"",NA,"","980-Echinodermata","",NA,"FLMNH",NA,"New Caledonia",NA,NA,"","",NA,NA,NA,"",NA,"",NA,NA
"544","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,6,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"C4F72250-E5C2-4201-8895-22E7FAF01A4F",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,12,-149.83972,NA,NA,NA,NA,"Sarah McPherson, Kristine White, Sharein El-Tourky, Gustav Paulay, Seabird McKeon, Chris Meyer,","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"d3feab8f90ffca6d9953afb42df2362004275177",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"7cd1da3d-0030-485b-8a2d-1bc5ddb99c6c","7cd1da3d-0030-485b-8a2d-1bc5ddb99c6c",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T18:11:47.439Z",NA,"Invertebrate Zoology",NA,NA,"Society Islands",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"BIZ-237",NA,NA,"","",2009,NA,NA,NA,"","",NA,"",NA,"",NA,"","9867-Echinodermata","",NA,"FLMNH",NA,"French Polynesia",NA,NA,"Moorea Island","",NA,NA,NA,"",NA,"",-17.59026,NA
"567","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,23,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"4E6392D9-4142-4082-A515-5FA5CA38DF83",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,10,-166.2602,NA,NA,NA,NA,"Gustav Paulay, Sea McKeon, Andy Collins, John Starmer, Jim Maragos, Cory Pittman & Russell Moffitt","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"6eca8f38eda559cd4a9ab2ac0e8a2832c03c9edf",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"442c08a0-d901-4109-ae75-56ad55a3e385","442c08a0-d901-4109-ae75-56ad55a3e385",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T15:15:43.519Z",NA,"Invertebrate Zoology",NA,NA,"Hawaiian Islands",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"FFS-0168",NA,NA,"","",2006,NA,NA,NA,"","",NA,"",NA,"",NA,"","6232-Echinodermata","",NA,"FLMNH",NA,"USA",NA,NA,"French Frigate Shoals","",NA,NA,NA,"",NA,"",23.7683,NA
"678","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,15,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"25A706DE-E7A6-4FEA-B2DC-343AE134B073",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,11,145.798438,NA,NA,NA,NA,"Yasunori Kano, Pierre Lozouet, John Slapcinsky, Timea Neusser, Bastian Brenzinger, Audrey Espalieu, Ken Ganzik, Dave Anan, Graham Kaina, Mande Holford","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"a56df0b9faad58b8d516a77a6b821520a73dce23",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"f7dade91-66be-42ad-b63f-f0aa032c6b4f","f7dade91-66be-42ad-b63f-f0aa032c6b4f",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T12:43:40.214Z",NA,"Invertebrate Zoology",NA,NA,"Madang Province",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"PM25",NA,NA,"","",2012,NA,NA,NA,"","",NA,"",NA,"",NA,"","15189-Echinodermata","",NA,"FLMNH",NA,"Papua New Guinea",NA,NA,"","",NA,NA,NA,"",NA,"",-5.019131,NA
"720","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"A3E5F0DB-CFB8-4CCB-AA2F-E537158F00AD",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,10,-114.8205,NA,NA,NA,NA,"T. A. Ebert","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"a3e260643872ac0b40f78e8f6ced13171f91c593",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"04dbc445-7f03-4355-873c-501226297c18","04dbc445-7f03-4355-873c-501226297c18",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T11:29:08.414Z",NA,"Invertebrate Zoology",NA,NA,"Baja California",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"Ebert-San Felipe",NA,NA,"","",1971,NA,NA,NA,"","",NA,"",NA,"",NA,"","16171-Echinodermata","",NA,"FLMNH",NA,"Mexico",NA,NA,"","",NA,NA,NA,"",NA,"",31.0405,NA
"766","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,20,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"19794F31-D239-4E22-89D7-5748383E78E7",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,11,145.801922,NA,NA,NA,NA,"Pierre Lozouet, Timea Neusser, John Slapcinsky, Bastian Brenzinger","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"308293878e89e456b1ab116c2322915f05b0b646",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"02fab905-b6f3-4f0d-9c75-ab1162043f15","02fab905-b6f3-4f0d-9c75-ab1162043f15",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T15:42:01.582Z",NA,"Invertebrate Zoology",NA,NA,"Madang Province",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"PM33",NA,NA,"","",2012,NA,NA,NA,"","",NA,"",NA,"",NA,"","15219-Echinodermata","",NA,"FLMNH",NA,"Papua New Guinea",NA,NA,"","",NA,NA,NA,"",NA,"",-5.02895,NA
"826","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,28,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"35443EC8-422B-41D0-9669-991634BB590B",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,1,-109.4253,NA,NA,NA,NA,"T. A. Ebert, D. M. Dexter","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"090e6ecf0554f4a071a7238387c1093b27b1d15b",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"6a23c88c-04bb-478c-8f1e-2f50fa37104c","6a23c88c-04bb-478c-8f1e-2f50fa37104c",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T13:13:42.342Z",NA,"Invertebrate Zoology",NA,NA,"Baja California Sur",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"Ebert-Los Frailes",NA,NA,"","",1972,NA,NA,NA,"","",NA,"",NA,"",NA,"","16162-Echinodermata","",NA,"FLMNH",NA,"Mexico",NA,NA,"","",NA,NA,NA,"",NA,"",23.3827,NA
"854","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,24,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"4E36FACA-9F14-413F-A7FC-120483EAB870",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,4,144.8,NA,NA,NA,NA,"Allison Miller","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"57b6f1bdee96ce66f1544790be462b8bc3800120",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"3dbab5cf-71da-4742-9241-70899ae91c71","3dbab5cf-71da-4742-9241-70899ae91c71",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T18:09:25.767Z",NA,"Invertebrate Zoology",NA,NA,"Mariana Islands",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"Kerr-025",NA,NA,"","",2012,NA,NA,NA,"","",NA,"",NA,"",NA,"","12507-Echinodermata","",NA,"FLMNH",NA,"USA",NA,NA,"Guam Island","",NA,NA,NA,"",NA,"",13.5,NA
"1087","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,19,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"8C9CC0BF-E4F8-4010-988F-531DDFAD78A1",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,11,152.050583333333,NA,NA,NA,NA,"James Reimer","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"d6ebf4fe67ddd0f22707c4febea140b1e8ca36bd",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"a4e2d98e-c77a-4678-b28f-87366e8bf051","a4e2d98e-c77a-4678-b28f-87366e8bf051",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T16:30:07.879Z",NA,"Invertebrate Zoology",NA,NA,"Queensland",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"HI09-059",NA,NA,"","",2009,NA,NA,NA,"","",NA,"",NA,"",NA,"","10068-Echinodermata","",NA,"FLMNH",NA,"Australia",NA,NA,"","",NA,NA,NA,"",NA,"",-23.5945166666667,NA
"1286","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,4,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"BF9BA834-A8BA-4382-959E-B26872E8B1DF",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,2,NA,NA,NA,NA,NA,"Cleveland P. Hickman, Jr.","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"e82ff9b3d41ad1c88727dd69e1232694c0bf6b00",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"38fefb18-98af-4851-822b-8c377079d518","38fefb18-98af-4851-822b-8c377079d518",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T18:43:08.393Z",NA,"Invertebrate Zoology",NA,NA,"Galapagos Islands",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"Hickman-016",NA,NA,"","",1998,NA,NA,NA,"","",NA,"",NA,"",NA,"","9656-Echinodermata","",NA,"FLMNH",NA,"Ecuador",NA,NA,"","",NA,NA,NA,"",NA,"",NA,NA
"1400","Holothuria rigida",NA,"",NA,"","Aspidochirotida",NA,NA,NA,26,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,"ED68CF66-3945-4DAC-A59A-4DB0409EC266",NA,NA,NA,"","",NA,"",NA,"",NA,"Selenka",NA,"",NA,10,-149.8,NA,NA,NA,NA,"Paulay, G.","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"",NA,"Holothuroidea","",NA,NA,"rigida","",NA,"eb2d97980a5282bb0dddd7063f4624ab83f2e6fa",NA,NA,"09/08/2014","",NA,NA,"",NA,"",NA,NA,"57b5aa37-de9b-4950-9833-ea989967b9d6","57b5aa37-de9b-4950-9833-ea989967b9d6",NA,NA,NA,NA,NA,"",NA,NA,"Holothuria",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T12:21:21.866Z",NA,"Invertebrate Zoology",NA,NA,"Society Islands",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,"BMOO-053",NA,NA,"","",2001,NA,NA,NA,"","",NA,"",NA,"",NA,"","592-Echinodermata","",NA,"FLMNH",NA,"French Polynesia",NA,NA,"Moorea Island","",NA,NA,NA,"",NA,"",-17.5,NA
