"","idigbio.determinationHistory","dwc.taxonID","inhs.total_Males","dwc.georeferenceVerificationStatus","dwc.phylum","idigbio.substrate","dwc.family","dwc.preparations","dwc.associatedTaxa","dwc.class","dwc.earliestAgeOrLowestStage","dcterms.bibliographicCitation","dwc.taxonRank","idigbio.associateAuthor","idigbio.associatedFamily","dwc.islandGroup","inhs.locationTrs","symbiotaverbatimScientificName","dwc.datasetName","inhs.superfamily","dwc.coordinatePrecision","idigbio.subgenus","id","dwc.formation","idigbio.associateIdentifier","dwc.typeStatus","dwc.member","dwc.earliestEpochOrLowestSeries","dwc.continent","dwc.minimumElevationInMeters","dwc.habitat","dwc.locationRemarks","idigbio.endangeredStatus","dwc.collectionCode","dwc.order","idigbio.subfamily","dcterms.references","dwc.day","inhs.instars_Male","dwc.earliestPeriodOrLowestSystem","dwc.subgenus","dwc.lowestBiostratigraphicZone","dwc.georeferenceSources","dwc.occurrenceRemarks","dwc.institutionCode","dwc.kingdom","inhs.juv_females","dwc.georeferenceRemarks","fcc.superfamily","dwc.eventDate","dwc.latestEpochOrHighestSeries","idigbio.recordIds","dwc.scientificName","dwc.scientificNameAuthorship","dwc.preparation","dwc.stateProvince","dwc.associatedSequences","dwc.identificationQualifier","dwc.countryCode","inhs.formII_males","fcc.subfamily","dwc.eventTime","inhs.instars_Female","dcterms.rights","dwc.nomenclaturalCode","dwc.group","idigbio.associateNotes","dwc.higherGeography","dwc.latestEraOrHighestErathem","dwc.fieldNumber","dwc.locationID","dwc.latestPeriodOrHighestSystem","idigbio.dateModified","dwc.scientificNameID","dwc.verbatimDepth","idigbio.tribe","dwc.datasetID","dwc.vernacularName","idigbio.version","dwc.geodeticDatum","dwc.informationWithheld","http...symbiota.org.terms.verbatimScientificName","dwc.verbatimLocality","inhs.location_RiverMile","dwc.namePublishedIn","dwc.verbatimTaxonRank","row.number","dcterms.rightsHolder","dwc.locality","dwc.endDayOfYear","dwc.relatedResourceID","dwc.associatedMedia","dwc.individualID","inhs.formII_females","dwc.locationAccordingTo","dwc.individualCount","dwc.VerbatimEventDate","dcterms.source","symbiota.verbatimScientificName","dwc.startDayOfYear","fcc.datePicked","dwc.institutionID","inhs.location_Stream","dwc.georeferencedDate","dwc.waterBody","dwc.dataGeneralizations","inhs.juv_males","dwc.latestAgeOrHighestStage","dwc.dateIdentified","dwc.samplingProtocol","inhs.live","dwc.verbatimEventDate","dwc.decimalLatitude","idigbio.hostFamily","dwc.infraspecificEpithet","dwc.georeferencedBy","dcterms.language","dwc.namePublishedInID","dwc.basisOfRecord","dwc.island","dwc.originalNameUsage","idigbio.recordId","dwc.samplingEffort","dwc.establishmentMeans","inhs.relic","dwc.bed","dwc.footprintWKT","dwc.municipality","dwc.county","idigbio.associateCondition","dwc.verbatimSRS","dwc.verbatimCoordinateSystem","idigbio.etag","dwc.lifeStage","dwc.identificationID","dwc.recordNumber","dwc.ownerInstitutionCode","idigbio.preparationCount","dwc.genus","idigbio.associateRelationship","dwc.behavior","idigbio.uuid","dcterms.modified","dwc.identificationRemarks","dwc.catalogNumber","dwc.georeferenceProtocol","dwc.occurrenceStatus","dwc.eventRemarks","idigbio.recordID","dcterms.accessRights","dwc.recordedBy","dwc.taxonRemarks","dwc.associatedOccurrences","dwc.nomenclaturalStatus","dwc.associatedReferences","idigbio.associateDeterminedBy","dwc.sex","inhs.juv_undetermined","dwc.previousIdentifications","dwc.disposition","idigbio.associatedRelationship","dwc.verbatimLongitude","dwc.maximumDepthInMeters","fcc.pickedBy","dcterms.type","dwc.lithostratigraphicTerms","idigbio.barcodeValue","dwc.earliestEraOrLowestErathem","dwc.dynamicProperties","dwc.eventID","dwc.identificationVerificationStatus","dwc.rights","dwc.maximumElevationInMeters","dwc.identifiedBy","dwc.fieldNotes","inhs.total_females","dwc.occurrenceID","dwc.accessRights","dwc.decimalLongitude","dwc.higherClassification","inhs.formI_males","inhs.vouchered","dwc.verbatimLatitude","dwc.otherCatalogNumbers","dwc.minimumDepthInMeters","dwc.rightsHolder","idigbio.associateCommonName","dwc.verbatimCoordinates","inhs.dead","idigbio.preservative","dwc.identificationReferences","dwc.reproductiveCondition","dwc.coordinateUncertaintyInMeters","dwc.year","dcterms.reference","dwc.verbatimElevation","dwc.country","inhs.location_Basin","dwc.specificEpithet","dwc.month","dwc.nameAccordingTo","idigbio.createdBy","dwc.collectionID"
"14",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dd80e855-879c-4809-9f75-3e00d2335c2b",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128100",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1940-03-20",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-05-28T21:20:42.186Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Mexico: Espiritu Santo Island, Punta Lobos",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128100",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"March 20, 1940",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","eab27cd0093b693f23afcb25346edb93f51335cd",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"dd80e855-879c-4809-9f75-3e00d2335c2b","2014-04-25 14:24:16.0","","128100","",NA,"",NA,NA,"Edward Flanders Ricketts, John Steinbeck",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"Elisabeth Deichmann",NA,NA,"MCZ:IZ:128100",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","original ledger number=2096",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"16",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e3efafda-77b2-40f9-aeac-bd4456d19003",NA,NA,"",NA,NA,"Atlantic Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4280",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1959-08-23",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA,"","",NA,"2014-05-28T20:05:12.728Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Puerto Rico, La Parguera Bay, Corona del Diablo",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4280",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"August 23, 1959",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","fa155dc0e3b54171298e0a121bb08fd524fb48c0",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"e3efafda-77b2-40f9-aeac-bd4456d19003","2012-12-17 12:03:29.0","","HOL-4280","",NA,"",NA,NA,"Richard U. Gooding, Arthur G. Humes",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"Elisabeth Deichmann",NA,NA,"MCZ:IZ:HOL-4280",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","other number=416",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"39",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"611d86b1-949f-4705-a3db-dae17602dc5e",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4062",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1700-01-01/2100-12-31",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Western Central",NA,"","",NA,"2014-07-12T15:00:19.300Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Australia, Queensland, Capricorn Group, Heron Island",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4062",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"unknown",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","dd573116af2b8ec4f2106ba81054a5aecd8c6908",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"611d86b1-949f-4705-a3db-dae17602dc5e","2012-12-17 12:03:28.0","","HOL-4062","",NA,"",NA,NA,"[no agent data]",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"Elisabeth Deichmann",NA,NA,"MCZ:IZ:HOL-4062",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"53",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35cb21de-1dc6-4e91-abc5-218d0f5d99c4",NA,NA,"",NA,NA,"Atlantic Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1249",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1903-08-06",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA,"","",NA,"2014-07-26T00:41:17.828Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Bermuda",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1249",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"6 VIII 1903",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","45d7cd17c0790d973db1768645cec0af83e2a8d2",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"35cb21de-1dc6-4e91-abc5-218d0f5d99c4","2013-05-09 11:18:00.0","","HOL-1249","",NA,"",NA,NA,"Bermuda Institute of Ocean Sciences",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-1249",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","station number=717",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"56",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,NA,"de966952-6729-4510-a624-8be2c568cc8d",NA,NA,"",NA,NA,"Atlantic Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-714",NA,NA,NA,NA,NA,"GEOLocate",NA,"MCZ","Animalia",NA,"",NA,"1909-03-01/1909-03-31",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA,"","",NA,"2014-07-12T14:44:08.101Z",NA,"",NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Jamaica, Port Antonio",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-714",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"March 1909",18.18145,NA,"","Jessica Anne Mullen","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"decimal degrees","2116bc09336a78959f6a08ebe3b2a6ab8598f527",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"de966952-6729-4510-a624-8be2c568cc8d","2014-06-18 10:59:28.0","","HOL-714","GEOLocate",NA,"",NA,NA,"Hubert Lyman Clark",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"-76.445673d",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"unverified",NA,NA,"[no agent data], Elisabeth Deichmann",NA,NA,"MCZ:IZ:HOL-714",NA,-76.445673,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"18.18145d","",NA,NA,NA,"",NA,NA,NA,NA,476,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"59",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d8cc8a54-1ce2-4fef-8f39-3bced691a712",NA,NA,"",NA,NA,"Atlantic Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1337",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1918-05-01/1918-06-30",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA,"","",NA,"2014-07-12T23:22:35.597Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Barbados, Pelican Islands",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1337",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"May and June 1918",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","55b99c7052ee63bcaa604ea20827bc2c561d3f57",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"d8cc8a54-1ce2-4fef-8f39-3bced691a712","2012-11-16 11:13:19.0","","HOL-1337","",NA,"",NA,NA,"Walter K. Fisher",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data], [no agent data]",NA,NA,"MCZ:IZ:HOL-1337",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"306",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3aba06a6-1c25-4ef6-b69c-8f10ebc27ebf",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1879",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1938-01-19",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Southeast",NA,"","",NA,"2014-01-11T21:24:27.844Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Ecuador: Galapagos, South Seymour Island",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1879",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"January 19, 1938",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","7522c2e7faa53b8b9aac8ed088fce1a6c2aa2c65",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"3aba06a6-1c25-4ef6-b69c-8f10ebc27ebf","2012-11-27 11:02:25.0","","HOL-1879","",NA,"",NA,NA,"G. Allan Hancock",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"Unknown",NA,NA,"MCZ:IZ:HOL-1879",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"345",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074,NA,"7ae58656-4b2d-44b5-8e19-9e29263d5e4d",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1506",NA,NA,NA,NA,NA,"GEOLocate",NA,"MCZ","Animalia",NA,"",NA,"1932-04-01/1932-04-30",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Southwest",NA,"","",NA,"2014-07-12T18:42:45.516Z",NA,"",NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Australia, off New South Wales, Lord Howe Island; Ned&#39;s Beach",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1506",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"April 1932",-31.516,NA,"","Penny Benson","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"decimal degrees","7bb8b151cbe587474e95f5027df3c969d107c575",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"7ae58656-4b2d-44b5-8e19-9e29263d5e4d","2014-06-18 15:10:33.0","","HOL-1506","GEOLocate",NA,"",NA,NA,"Hubert Lyman Clark",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"159.083d",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"unverified",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-1506",NA,159.083,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"-31.516d","",NA,NA,NA,"",NA,NA,NA,NA,1074,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"350",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"580acf9e-b9af-4677-bdba-6e394f96216d",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127877",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1935-02-08",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-07-13T04:28:58.744Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Playa Blanca, Costa Rica",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127877",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"February 8, 1935",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","61728f2fe1d7c85c4c956bc1c8c3000f25456fea",NA,NA,"397-53","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"580acf9e-b9af-4677-bdba-6e394f96216d","2014-07-02 13:06:13.0","","127877","",NA,"",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data], Elisabeth Deichmann",NA,NA,"MCZ:IZ:127877",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","collector number=397-53; original ledger number=3000C; station number=465-35",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"360",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2dbf60ae-ccb0-4d67-bbdd-3de928193389",NA,NA,"",NA,NA,"[no higher geography data]",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-711",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"[no higher geography data], null",NA,"","",NA,"2014-07-12T22:20:15.014Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","[no specific locality data]",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-711",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"unknown",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","4fde14ad2d92ff5874d204b0fcb2f11e1fcea012",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"2dbf60ae-ccb0-4d67-bbdd-3de928193389","2014-06-10 16:59:13.0","","HOL-711","",NA,"",NA,NA,"[no agent data]",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-711",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"579",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (dry)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4026c55e-7eca-4b37-a465-c0f64f0d7fd2",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4069",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1967-05-13",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-01-11T03:00:25.768Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Gulf of Panama: Paitilla Point [Panama]",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4069",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"1967-05-13",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","948e789a9d3b4624ecad968fb527af83dd8e1ab9",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"4026c55e-7eca-4b37-a465-c0f64f0d7fd2","2012-12-13 13:57:07.0","Found dry on March 16, 2007 by JW.","HOL-4069","",NA,"",NA,NA,"RV John E Pillsbury",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-4069",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","station number=568",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
