"","dcterms.rights","dwc.nomenclaturalCode","dwc.namePublishedIn","idigbio.version","idigbio.endangeredStatus","dwc.verbatimDepth","dwc.ownerInstitutionCode","dwc.stateProvince","dwc.verbatimCoordinateSystem","dwc.taxonID","dwc.scientificNameID","dwc.disposition","dwc.lithostratigraphicTerms","idigbio.associateAuthor","dwc.samplingProtocol","dwc.subgenus","dwc.otherCatalogNumbers","idigbio.recordID","inhs.formII_males","inhs.dead","idigbio.associateRelationship","dwc.rightsHolder","idigbio.associateNotes","symbiota.verbatimScientificName","dwc.verbatimElevation","dwc.locationRemarks","dwc.verbatimLocality","dwc.associatedTaxa","dwc.habitat","symbiotaverbatimScientificName","dwc.verbatimLongitude","dwc.occurrenceID","dwc.verbatimCoordinates","inhs.instars_Female","dwc.preparations","dwc.endDayOfYear","dcterms.reference","dwc.islandGroup","inhs.juv_undetermined","inhs.location_Stream","inhs.vouchered","dwc.relatedResourceID","dwc.identificationReferences","inhs.locationTrs","dwc.samplingEffort","dwc.lowestBiostratigraphicZone","dwc.identificationRemarks","dwc.island","dwc.county","dcterms.rightsHolder","dwc.establishmentMeans","dwc.verbatimLatitude","idigbio.associatedRelationship","dwc.family","idigbio.barcodeValue","dwc.locationID","dwc.minimumElevationInMeters","fcc.subfamily","dcterms.bibliographicCitation","dwc.fieldNumber","dwc.vernacularName","dwc.scientificName","dwc.decimalLatitude","dwc.verbatimTaxonRank","dwc.eventTime","dwc.order","dwc.locationAccordingTo","dwc.reproductiveCondition","dwc.identificationID","dwc.minimumDepthInMeters","inhs.location_Basin","idigbio.substrate","dwc.latestEpochOrHighestSeries","dwc.waterBody","idigbio.subfamily","dwc.lifeStage","dwc.maximumElevationInMeters","dwc.eventRemarks","dwc.catalogNumber","dwc.verbatimEventDate","idigbio.etag","dwc.associatedReferences","inhs.juv_females","dwc.previousIdentifications","dwc.countryCode","dcterms.modified","idigbio.uuid","dcterms.references","dwc.coordinateUncertaintyInMeters","idigbio.determinationHistory","dwc.georeferenceVerificationStatus","id","dwc.identifiedBy","dwc.geodeticDatum","dwc.georeferenceProtocol","dwc.locality","dwc.day","dwc.originalNameUsage","dwc.taxonRank","inhs.total_females","dwc.verbatimSRS","dwc.dynamicProperties","dwc.month","idigbio.preservative","idigbio.recordIds","dwc.associatedOccurrences","dwc.individualID","dwc.namePublishedInID","dwc.coordinatePrecision","dcterms.accessRights","idigbio.tribe","dwc.occurrenceRemarks","inhs.instars_Male","dwc.identificationVerificationStatus","inhs.juv_males","dwc.earliestAgeOrLowestStage","idigbio.createdBy","dwc.georeferenceSources","dwc.recordNumber","inhs.superfamily","idigbio.preparationCount","dwc.rights","dwc.georeferencedBy","dwc.fieldNotes","dwc.scientificNameAuthorship","dwc.identificationQualifier","dwc.georeferenceRemarks","dwc.collectionID","dwc.member","idigbio.dateModified","idigbio.recordId","dwc.continent","dwc.institutionID","fcc.pickedBy","dwc.formation","idigbio.associateIdentifier","dwc.basisOfRecord","idigbio.associateDeterminedBy","dwc.specificEpithet","inhs.formI_males","row.number","dwc.individualCount","inhs.relic","dwc.dataGeneralizations","dwc.latestEraOrHighestErathem","dwc.associatedMedia","dwc.occurrenceStatus","dwc.genus","dwc.decimalLongitude","dwc.latestPeriodOrHighestSystem","dwc.accessRights","dwc.higherClassification","dwc.informationWithheld","fcc.datePicked","inhs.total_Males","dwc.collectionCode","dcterms.type","dcterms.language","inhs.formII_females","dwc.preparation","dwc.earliestPeriodOrLowestSystem","dwc.datasetName","dwc.datasetID","dwc.earliestEraOrLowestErathem","dwc.typeStatus","dwc.country","dcterms.source","dwc.behavior","dwc.class","dwc.infraspecificEpithet","dwc.phylum","dwc.latestAgeOrHighestStage","fcc.superfamily","dwc.sex","dwc.year","dwc.eventDate","dwc.nameAccordingTo","dwc.higherGeography","dwc.institutionCode","idigbio.hostFamily","idigbio.associatedFamily","dwc.eventID","dwc.dateIdentified","dwc.earliestEpochOrLowestSeries","idigbio.subgenus","dwc.group","dwc.maximumDepthInMeters","dwc.VerbatimEventDate","dwc.bed","http...symbiota.org.terms.verbatimScientificName","idigbio.associateCondition","dwc.footprintWKT","dwc.georeferencedDate","dwc.nomenclaturalStatus","dwc.startDayOfYear","idigbio.associateCommonName","dwc.kingdom","inhs.location_RiverMile","dwc.recordedBy","inhs.live","dwc.taxonRemarks","dwc.municipality","dwc.associatedSequences"
"93",NA,"",NA,NA,NA,"","","Caroline Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","1601FCCA-5C22-4932-8C88-2DB0E43C3F94","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Chuuk Island","",NA,"",NA,"Holothuriidae",NA,"Kim-CHK-St-06",NA,NA,NA,"",NA,"Holothuria fuscocinerea",7.271741,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","11379-Echinodermata","","4be555c5eb768bbcac502b547eb446bf6768b606","",NA,NA,NA,"09/08/2014","80eaf73d-42d1-4468-9742-ceb334eefb90","",NA,NA,NA,"80eaf73d-42d1-4468-9742-ceb334eefb90","","","","",9,NA,NA,NA,NA,"",7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T13:28:21.728Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",151.534721,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Federated States of Micronesia",NA,NA,"Holothuroidea","","",NA,NA,"",2011,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Sun Kim",NA,NA,NA,NA
"138",NA,"",NA,NA,NA,"","","Mariana Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","23D13283-191B-4A19-AC91-CB07198E6676","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Guam Island","",NA,"",NA,"Holothuriidae",NA,"UGI-Station-286",NA,NA,NA,"",NA,"Holothuria fuscocinerea",13.5,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","12387-Echinodermata","","1c715318ac79b7724a9d7d13cc0d03312959e799","",NA,NA,NA,"09/08/2014","ed05ec56-e0e6-4140-91d3-8e95408ad3b2","",NA,NA,NA,"ed05ec56-e0e6-4140-91d3-8e95408ad3b2","","","","",NA,NA,NA,NA,NA,"",12,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T11:43:03.253Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",144.8,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","USA",NA,NA,"Holothuroidea","","",NA,NA,"",1998,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"John Starmer",NA,NA,NA,NA
"146",NA,"",NA,NA,NA,"","","New Caledonia","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","D34D97EF-BA81-4A53-A71B-A9858C1CD1EB","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"NEST4",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-22.64778,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","15896-Echinodermata","","b6318feb83ab889453e452d39d91d3942363bebb","",NA,NA,NA,"09/08/2014","25579f4b-be54-4d58-a004-e2aecef8a718","",NA,NA,NA,"25579f4b-be54-4d58-a004-e2aecef8a718","","","","",30,NA,NA,NA,NA,"",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T09:37:33.087Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",167.39611,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","France",NA,NA,"Holothuroidea","","",NA,NA,"",2013,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Nathaniel Evans",NA,NA,NA,NA
"156",NA,"",NA,NA,NA,"","","Marquesas Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","273CFCB0-0383-40CE-91F9-99AFE5367804","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"MQ-24",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-9.39428,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","15736-Echinodermata","","a3038d5eef83696bdae1673160dd7e43cda5bffe","",NA,NA,NA,"09/08/2014","de79cfd5-299a-4abc-9466-cfe239617061","",NA,NA,NA,"de79cfd5-299a-4abc-9466-cfe239617061","","","","",NA,NA,NA,NA,NA,"",1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T10:57:34.740Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",-140.11848,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","French Polynesia",NA,NA,"Holothuroidea","","",NA,NA,"",2012,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"John Starmer",NA,NA,NA,NA
"194",NA,"",NA,NA,NA,"","","Caroline Islands","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","5A3F0969-250F-4130-8E91-323016CFEAF6","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Kosrae Island","",NA,"",NA,"Holothuriidae",NA,"KOSR-01",NA,NA,NA,"",NA,"Holothuria fuscocinerea",5.34222,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","6803-Echinodermata","","b5e309482e195a65fc354ab9191116085a7e807a","",NA,NA,NA,"09/08/2014","a54a9f50-e733-4235-bbd1-9beef073f094","",NA,NA,NA,"a54a9f50-e733-4235-bbd1-9beef073f094","","","","",23,NA,NA,NA,NA,"",2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T12:08:28.946Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",163.01986,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Federated States of Micronesia",NA,NA,"Holothuroidea","","",NA,NA,"",2008,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"François Michonneau, Alexander M. Kerr, Sun Kim",NA,NA,NA,NA
"223",NA,"",NA,NA,NA,"","","Queensland","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","C78237C2-8847-412F-9B84-7E8254ACCC3A","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"HI09-105",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-23.4617166666667,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","10205-Echinodermata","","cbee446ca5356b8941907b5666a168f7cfab413a","",NA,NA,NA,"09/08/2014","8f7f5763-402d-4fbc-9a68-29ec2b46f1a8","",NA,NA,NA,"8f7f5763-402d-4fbc-9a68-29ec2b46f1a8","","","","",25,NA,NA,NA,NA,"",11,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T17:54:41.435Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",151.886833333333,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Australia",NA,NA,"Holothuroidea","","",NA,NA,"",2009,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Robert Lasley",NA,NA,NA,NA
"261",NA,"",NA,NA,NA,"","","Madang Province","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","AB7FFFEA-08B2-43D1-BB1E-10105CEAC8E9","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"PFM-001",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-5.18395,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","14518-Echinodermata","","c0133d1489a8fe09a887368c862eeb3ef1186ad0","",NA,NA,NA,"09/08/2014","d34b4698-7b02-4840-a3f6-80f42493586b","",NA,NA,NA,"d34b4698-7b02-4840-a3f6-80f42493586b","","","","",9,NA,NA,NA,NA,"",11,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T17:20:38.132Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",145.802183,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Papua New Guinea",NA,NA,"Holothuroidea","","",NA,NA,"",2012,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA
"457",NA,"",NA,NA,NA,"","","Bohol","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","131B3259-2AB4-4D9D-A311-EDACB151E09B","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"SEMP-35",NA,NA,NA,"",NA,"Holothuria fuscocinerea",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","5637-Echinodermata","","05657b83b7f07b895bbbe5332c69a587d03ceacf","",NA,NA,NA,"09/08/2014","3b360bf9-dc3f-4c9b-acc5-7fe44d254d25","",NA,NA,NA,"3b360bf9-dc3f-4c9b-acc5-7fe44d254d25","","","","",13,NA,NA,NA,NA,"",6,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T11:10:14.725Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",NA,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Philippines",NA,NA,"Holothuroidea","","",NA,NA,"",2006,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Kris Netchy & Alex Kerr",NA,NA,NA,NA
"488",NA,"",NA,NA,NA,"","","Okinawa Prefecture","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","FD273C93-9E66-451F-B35B-D3A7A8ABBB74","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Okinawa Island","",NA,"",NA,"Holothuriidae",NA,"GUOK10-St-058",NA,NA,NA,"",NA,"Holothuria fuscocinerea",26.328821,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","10462-Echinodermata","","ba9be105b01c7ab31d1d9185aeca75254997cb39","",NA,NA,NA,"09/08/2014","f216be41-7680-4ce4-a824-cd29fd2e70f4","",NA,NA,NA,"f216be41-7680-4ce4-a824-cd29fd2e70f4","","","","",2,NA,NA,NA,NA,"",7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T17:41:45.628Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",127.744105,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Japan",NA,NA,"Holothuroidea","","",NA,NA,"",2010,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Nat Evans, Francois Michonneau, Tom Schils, Amanda Devilliers, Daisuke Uyeno",NA,NA,NA,NA
"663",NA,"",NA,NA,NA,"","","Cebu","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","49F548B5-14C9-4838-9DFA-6D4D72EA1749","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"SEMP-22",NA,NA,NA,"",NA,"Holothuria fuscocinerea",10.21,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","5630-Echinodermata","","2700dba9d1b9c129204d4bd330d2df780fe32ea3","",NA,NA,NA,"09/08/2014","c52a0551-c1c3-4ea4-a212-4307b20c91b5","",NA,NA,NA,"c52a0551-c1c3-4ea4-a212-4307b20c91b5","","","","",5,NA,NA,NA,NA,"",6,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T11:53:41.997Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",123.99,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Philippines",NA,NA,"Holothuroidea","","",NA,NA,"",2006,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Kris Netchy & Alex Kerr",NA,NA,NA,NA
"683",NA,"",NA,NA,NA,"","","Bohol Province","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","D9DCD97F-75A0-4A18-8C41-FAA530D2B9FF","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"KNRL-015",NA,NA,NA,"",NA,"Holothuria fuscocinerea",9.5486,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","4099-Echinodermata","","a0fc94854f7762db271e4c17192ef0568e9f1e9a","",NA,NA,NA,"09/08/2014","8e2ed883-9410-4038-8dc2-5b9d6aafcbe7","",NA,NA,NA,"8e2ed883-9410-4038-8dc2-5b9d6aafcbe7","","","","",1,NA,NA,NA,NA,"",5,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T10:54:24.474Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",123.7711,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Philippines",NA,NA,"Holothuroidea","","",NA,NA,"",2005,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Netchy, K. & Lasley, R.",NA,NA,NA,NA
"687",NA,"",NA,NA,NA,"","","Queensland","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","E65710CD-DBCB-4753-9972-108A894E15D5","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"AUST-ST-047",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-14.6068,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","8865-Echinodermata","","ab99ed0ac5bd7c8bc5d33c5a3e960830cb601067","",NA,NA,NA,"09/08/2014","590b83f3-c9b2-45fb-95d0-c92768861c3c","",NA,NA,NA,"590b83f3-c9b2-45fb-95d0-c92768861c3c","","","","",16,NA,NA,NA,NA,"",2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T11:04:02.497Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",145.3506,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Australia",NA,NA,"Holothuroidea","","",NA,NA,"",2009,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Robert Lasley",NA,NA,NA,NA
"701",NA,"",NA,NA,NA,"","","Madang Province","",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","DE973809-EE97-4A2A-B5E1-87B4AF1C410E","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"Holothuriidae",NA,"PFM-001",NA,NA,NA,"",NA,"Holothuria fuscocinerea",-5.18395,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","14491-Echinodermata","","1b86aee46c0af3d7b9b61a643eaf4e10b3e65d22","",NA,NA,NA,"09/08/2014","44d3e624-ce0f-4cb9-8510-22e3338f5f92","",NA,NA,NA,"44d3e624-ce0f-4cb9-8510-22e3338f5f92","","","","",9,NA,NA,NA,NA,"",11,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,NA,"",NA,"Jäger",NA,"",NA,NA,"2014-09-12T10:14:58.218Z",NA,"","",NA,NA,NA,"PreservedSpecimen",NA,"fuscocinerea",NA,NA,NA,NA,NA,NA,"",NA,"Holothuria",145.802183,NA,NA,"",NA,NA,NA,"Invertebrate Zoology","","",NA,NA,NA,NA,NA,NA,"","Papua New Guinea",NA,NA,"Holothuroidea","","",NA,NA,"",2012,"",NA,"","FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA
