"","idigbio.associateIdentifier","dwc.higherClassification","idigbio.associateNotes","dwc.eventID","dwc.recordNumber","dwc.rights","fcc.datePicked","dcterms.modified","dcterms.language","dwc.otherCatalogNumbers","dwc.verbatimCoordinates","dwc.collectionCode","dwc.preparations","idigbio.substrate","idigbio.preservative","dcterms.type","dwc.group","dwc.countryCode","dwc.eventRemarks","dwc.collectionID","dwc.occurrenceStatus","dwc.lithostratigraphicTerms","dwc.preparation","dwc.nomenclaturalStatus","inhs.total_Males","inhs.relic","inhs.formII_males","dwc.georeferenceProtocol","dwc.lifeStage","idigbio.etag","dwc.identificationID","dwc.nameAccordingTo","dwc.identificationQualifier","inhs.instars_Female","idigbio.determinationHistory","dwc.family","dwc.taxonRank","dwc.latestAgeOrHighestStage","idigbio.createdBy","dwc.associatedTaxa","dwc.verbatimSRS","idigbio.associateCommonName","fcc.superfamily","dwc.locationRemarks","dwc.coordinateUncertaintyInMeters","dwc.order","idigbio.uuid","idigbio.associateRelationship","idigbio.recordIds","dcterms.accessRights","dwc.scientificNameAuthorship","dwc.namePublishedIn","dwc.individualID","dwc.country","dwc.identifiedBy","dwc.waterBody","inhs.juv_undetermined","dwc.datasetID","dwc.fieldNotes","dwc.sex","dwc.previousIdentifications","dwc.infraspecificEpithet","dcterms.rightsHolder","dwc.catalogNumber","inhs.locationTrs","dwc.county","inhs.location_Stream","dwc.georeferenceSources","dwc.georeferencedDate","dwc.verbatimDepth","dwc.identificationVerificationStatus","dcterms.source","idigbio.associateDeterminedBy","inhs.total_females","dwc.establishmentMeans","dwc.minimumElevationInMeters","dwc.verbatimElevation","dwc.latestEpochOrHighestSeries","idigbio.subgenus","idigbio.version","dwc.individualCount","dwc.latestEraOrHighestErathem","symbiota.verbatimScientificName","dwc.bed","dwc.typeStatus","dwc.dataGeneralizations","dwc.occurrenceID","dwc.identificationReferences","dwc.reproductiveCondition","dwc.verbatimLongitude","idigbio.hostFamily","inhs.dead","idigbio.subfamily","dwc.earliestAgeOrLowestStage","dwc.verbatimLocality","dwc.taxonRemarks","idigbio.barcodeValue","dwc.island","dwc.accessRights","dcterms.rights","dwc.georeferencedBy","dwc.ownerInstitutionCode","dwc.associatedOccurrences","dwc.earliestPeriodOrLowestSystem","idigbio.preparationCount","idigbio.recordId","dwc.georeferenceRemarks","dwc.subgenus","dwc.associatedMedia","dwc.nomenclaturalCode","idigbio.associateCondition","dwc.rightsHolder","dwc.stateProvince","dwc.footprintWKT","inhs.live","dwc.associatedReferences","dwc.day","dwc.earliestEraOrLowestErathem","dwc.startDayOfYear","dwc.maximumDepthInMeters","dwc.verbatimEventDate","dwc.dynamicProperties","http...symbiota.org.terms.verbatimScientificName","dwc.VerbatimEventDate","dwc.decimalLatitude","dwc.fieldNumber","idigbio.associatedRelationship","dwc.latestPeriodOrHighestSystem","dwc.coordinatePrecision","dwc.maximumElevationInMeters","dcterms.reference","dwc.higherGeography","idigbio.dateModified","dwc.lowestBiostratigraphicZone","dwc.year","id","dwc.geodeticDatum","dwc.class","dwc.datasetName","dcterms.bibliographicCitation","inhs.superfamily","fcc.pickedBy","dwc.associatedSequences","dwc.basisOfRecord","dwc.relatedResourceID","inhs.vouchered","dwc.locationID","dwc.dateIdentified","dwc.phylum","dwc.formation","inhs.formI_males","dwc.municipality","dwc.namePublishedInID","idigbio.tribe","dwc.occurrenceRemarks","idigbio.recordID","dwc.kingdom","symbiotaverbatimScientificName","dwc.scientificName","dwc.institutionCode","idigbio.associatedFamily","dwc.originalNameUsage","dwc.georeferenceVerificationStatus","dwc.samplingEffort","dwc.month","row.number","dwc.institutionID","dwc.minimumDepthInMeters","fcc.subfamily","dwc.disposition","dwc.habitat","dwc.behavior","dwc.continent","idigbio.associateAuthor","dwc.vernacularName","inhs.formII_females","inhs.location_RiverMile","dwc.recordedBy","dwc.locality","dwc.specificEpithet","dwc.decimalLongitude","inhs.instars_Male","idigbio.endangeredStatus","dwc.endDayOfYear","dwc.eventTime","dwc.scientificNameID","dwc.earliestEpochOrLowestSeries","dwc.verbatimLatitude","dwc.samplingProtocol","dwc.eventDate","inhs.juv_females","inhs.location_Basin","dwc.verbatimCoordinateSystem","dwc.verbatimTaxonRank","dwc.genus","inhs.juv_males","dcterms.references","dwc.identificationRemarks","dwc.member","dwc.locationAccordingTo","dwc.islandGroup","dwc.taxonID","dwc.informationWithheld"
"10",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-04-11 13:02:30.0","en","station number=867-38","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"c157dd2eb179e9f3c29980c316daa5003f47a842",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","a624b892-34a0-4995-93d0-832472c0b303",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1894",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1894",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1894","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,5.4864,"March 2, 1938","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-04-19T02:36:04.704Z",NA,NA,"a624b892-34a0-4995-93d0-832472c0b303","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",5.4864,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","Panama: Secas Island","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1938-03-02",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1894","",NA,NA,NA,NA,NA
"11",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-04-11 12:02:26.0","en","station number=796-38","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"f8d839e806e7969fc776fe0dc798b9e1129cfa03",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","a98dc9a0-a8ea-40c2-831b-f6cd6487c325",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1889",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1889",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1889","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"January 21, 1938","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Southeast","2014-04-19T02:32:33.637Z",NA,NA,"a98dc9a0-a8ea-40c2-831b-f6cd6487c325","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","Ecuador: Galapagos, James Island; Sulivan Bay","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1938-01-21",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1889","",NA,NA,NA,NA,NA
"28",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-06-02 10:02:34.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"bb05985e97d920953e6e8229b5cf91f3307a2f20",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",647,"Aspidochirotida","af63a6cd-04a0-4586-b0d0-de74503adec3",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1403",NA,"",NA,"GEOLocate",NA,"","unverified",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1403",NA,NA,"-77.931086d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jessica Anne Mullen","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1403","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"March  1912","",NA,NA,18.46908,"",NA,NA,647,NA,NA,"Atlantic Ocean, Atlantic, Western Central","2014-07-12T14:04:53.692Z",NA,NA,"af63a6cd-04a0-4586-b0d0-de74503adec3","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","Under rocks about the reefs",NA,"Atlantic Ocean",NA,NA,NA,NA,"Hubert Lyman Clark","Jamaica, Bogue Island, Montego Bay","impatiens",-77.931086,NA,NA,NA,NA,NA,NA,"18.46908d","","1912-03-01/1912-03-31",NA,NA,"decimal degrees",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1403","",NA,NA,NA,NA,NA
"35",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-02-19 10:02:28.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"9fffa0539b9578e3c31ac33c14ec74ec49ee104d",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","9e76d5bf-5ded-4c43-9df6-d5e34446dfd8",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-868",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-868",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-868","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"[date unknown]","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-12T17:37:04.301Z",NA,NA,"9e76d5bf-5ded-4c43-9df6-d5e34446dfd8","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"[no agent data]","United States, Hawaii","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-868","",NA,NA,NA,NA,NA
"41",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-07-02 13:06:13.0","en","original ledger number=2095 K; station number=19-32","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"b6146cf10619aa7204c000e3a77c65d737f173f8",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","f5bd0365-f84b-428e-89b2-fe2638608861",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data], World Register of Marine Species","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","128086",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:128086",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128086","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"December 21, 1932","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Southeast","2014-07-12T14:19:24.645Z",NA,NA,"f5bd0365-f84b-428e-89b2-fe2638608861","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","off Ecuador, Santa Elena Bay, Punta Brava","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1932-12-21",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128086","",NA,NA,NA,NA,NA
"49",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-07-02 13:14:55.0","en","original ledger number=2095 I; station number=2588-54","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"73f09dfe683be9cebf58548823a9dd349e807b06",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","e5a03c62-9183-4127-8ca4-432112a9f333",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data], World Register of Marine Species","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","127909",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:127909",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127909","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,5.4864,"January 26, 1954","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-22T07:54:01.086Z",NA,NA,"e5a03c62-9183-4127-8ca4-432112a9f333","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",0,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","Mexico, Gulf of California, Isabel Is.","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1954-01-26",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127909","",NA,NA,NA,NA,NA
"55",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-07-18 14:25:46.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"0c7a2444d06f7f59cbc1a9a1e401c68f35cf1510",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","ac9d1527-aa66-46ac-988f-0d64ea4c9111",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1887",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1887",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1887","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"January 14, 1938","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-26T00:42:04.543Z",NA,NA,"ac9d1527-aa66-46ac-988f-0d64ea4c9111","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"Hancock Pacific Expeditions, RV Velero III","Costa Rica, Cocos Island, Chatham Bay","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1938-01-14",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1887","",NA,NA,NA,NA,NA
"74",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-07-02 13:06:12.0","en","original ledger number=2095 J; station number=202-34","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"1a388c2dd8ef0f4208f44b562ec2cd23324dd65d",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","4d865e00-a647-43f7-8661-85dc1fa10d7c",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data], World Register of Marine Species","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","128085",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:128085",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128085","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,36.576,"January 31, 1934","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-13T04:54:17.822Z",NA,NA,"4d865e00-a647-43f7-8661-85dc1fa10d7c","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","off Ecuador, Galapagos Is., Hood I., Gardner Bay","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1934-01-31",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128085","",NA,NA,NA,NA,NA
"75",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-06-09 14:24:30.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"a073c8e741e20f11418fe81c4f552f28b12db8b4",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",2768,"Aspidochirotida","2a5b47ef-b477-498a-b741-471e127cc5f4",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1032",NA,"",NA,"GEOLocate",NA,"","unverified",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1032",NA,NA,"144.05164d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jessica Anne Mullen","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1032","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"October 1913","",NA,NA,-9.91518,"",NA,NA,2768,NA,NA,"Pacific Ocean, Pacific, Western Central","2014-07-12T17:26:03.028Z",NA,NA,"2a5b47ef-b477-498a-b741-471e127cc5f4","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait","Australia, Queensland, Torres Strait, Murray Islands (Mer)","impatiens",144.05164,NA,NA,NA,NA,NA,NA,"-9.91518d","","1913-10-01/1913-10-31",NA,NA,"decimal degrees",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1032","Original of Mr. Grosse's photo.",NA,NA,NA,NA,NA
"87",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-07-29 12:15:55.0","en","station number=784-38","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"123aefe2be42898ed35c4ea797aa46f6631d1a9f",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",832,"Aspidochirotida","0342d09c-3387-4cf2-bdb0-3c92e46aa395",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1888",NA,"",NA,"GEOLocate",NA,"","unverified",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1888",NA,NA,"-89.954333d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Penny Benson","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1888","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"January 17, 1938","",NA,NA,0.310934,"",NA,NA,832,NA,NA,"Pacific Ocean, Pacific, Southeast","2014-08-04T20:15:45.037Z",NA,NA,"0342d09c-3387-4cf2-bdb0-3c92e46aa395","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","Ecuador: Galapagos, Genovesa Island, Darwin Bay","impatiens",-89.954333,NA,NA,NA,NA,NA,NA,"0.310934d","","1938-01-17",NA,NA,"decimal degrees",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1888","",NA,NA,NA,NA,NA
"302",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2013-01-10 11:11:11.0","en","","","IZ","fragment (dry)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"4ba92fae81e7cc736e9ea85749657b17285833bc",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","3e5203f0-a698-4a07-a17f-a02ab6abd8fe",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data], [no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-4080",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-4080",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4080","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"1962-01-31","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-02-28T08:04:02.253Z",NA,NA,"3e5203f0-a698-4a07-a17f-a02ab6abd8fe","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"CAW Jr","Off Mexico, Sonora, Norse Beach","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1962-01-31",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4080","Found dry on March 22. 2007 by TT.",NA,NA,NA,NA,NA
