"","symbiota.verbatimScientificName","dwc.associatedTaxa","symbiotaverbatimScientificName","dwc.namePublishedInID","dwc.establishmentMeans","dwc.coordinateUncertaintyInMeters","dwc.associatedOccurrences","dwc.sex","dwc.accessRights","inhs.dead","dwc.infraspecificEpithet","dwc.scientificName","dwc.genus","dwc.latestPeriodOrHighestSystem","dwc.lowestBiostratigraphicZone","dwc.latestEraOrHighestErathem","idigbio.associateDeterminedBy","dwc.countryCode","dcterms.language","dwc.disposition","dwc.identificationID","dwc.individualCount","dwc.coordinatePrecision","dwc.family","dwc.informationWithheld","dcterms.rights","dwc.eventTime","dwc.island","dwc.eventDate","dwc.fieldNotes","dwc.class","idigbio.uuid","dwc.earliestEraOrLowestErathem","row.number","inhs.juv_males","dwc.preparation","dwc.occurrenceRemarks","dwc.country","dwc.latestAgeOrHighestStage","dwc.individualID","dwc.day","dwc.fieldNumber","dwc.originalNameUsage","dwc.continent","dwc.county","inhs.juv_undetermined","idigbio.endangeredStatus","dwc.dateIdentified","dwc.preparations","dwc.earliestEpochOrLowestSeries","inhs.formII_females","inhs.formI_males","dwc.subgenus","dwc.associatedReferences","dwc.institutionCode","idigbio.preparationCount","dwc.earliestPeriodOrLowestSystem","dwc.eventRemarks","dwc.identificationReferences","dwc.minimumDepthInMeters","dwc.nameAccordingTo","dwc.dataGeneralizations","dwc.namePublishedIn","idigbio.determinationHistory","dwc.group","idigbio.hostFamily","idigbio.recordIds","dwc.collectionCode","dwc.earliestAgeOrLowestStage","inhs.location_RiverMile","dcterms.source","http...symbiota.org.terms.verbatimScientificName","dwc.kingdom","inhs.location_Stream","dwc.identificationRemarks","dwc.verbatimTaxonRank","dwc.phylum","dwc.associatedMedia","dwc.vernacularName","inhs.location_Basin","inhs.total_females","dwc.georeferenceRemarks","dwc.taxonRank","dwc.latestEpochOrHighestSeries","dwc.locationRemarks","idigbio.recordID","dwc.identificationQualifier","dwc.georeferencedDate","idigbio.barcodeValue","fcc.pickedBy","idigbio.preservative","dwc.stateProvince","idigbio.associateCommonName","dwc.rights","dwc.islandGroup","idigbio.associateRelationship","dwc.behavior","idigbio.recordId","dwc.taxonRemarks","idigbio.associateIdentifier","dwc.eventID","dwc.verbatimLatitude","dwc.typeStatus","dwc.scientificNameID","dcterms.rightsHolder","dwc.verbatimLongitude","idigbio.associateCondition","inhs.live","idigbio.associatedFamily","fcc.subfamily","dwc.geodeticDatum","dwc.basisOfRecord","idigbio.substrate","dwc.georeferencedBy","fcc.datePicked","dwc.occurrenceID","dwc.taxonID","fcc.superfamily","dwc.samplingProtocol","dwc.verbatimCoordinateSystem","dwc.datasetID","idigbio.subgenus","idigbio.subfamily","dwc.recordedBy","inhs.superfamily","dwc.datasetName","dwc.order","dwc.catalogNumber","dwc.verbatimCoordinates","idigbio.version","dwc.collectionID","dwc.georeferenceSources","dcterms.references","inhs.instars_Female","dwc.verbatimEventDate","dwc.maximumElevationInMeters","dwc.lifeStage","dwc.formation","dwc.maximumDepthInMeters","inhs.formII_males","dwc.scientificNameAuthorship","dwc.waterBody","inhs.instars_Male","dwc.VerbatimEventDate","dwc.locationAccordingTo","dwc.nomenclaturalStatus","dwc.georeferenceVerificationStatus","dwc.startDayOfYear","idigbio.createdBy","dwc.footprintWKT","dwc.higherClassification","dwc.previousIdentifications","dwc.locality","dwc.endDayOfYear","dwc.identifiedBy","dwc.decimalLatitude","dwc.member","dwc.institutionID","dcterms.accessRights","dcterms.type","dwc.month","id","dwc.verbatimSRS","dwc.verbatimLocality","dwc.identificationVerificationStatus","dwc.reproductiveCondition","inhs.relic","dwc.municipality","dwc.locationID","dwc.higherGeography","dcterms.modified","idigbio.associateNotes","inhs.vouchered","dwc.georeferenceProtocol","inhs.total_Males","dwc.associatedSequences","dwc.recordNumber","dwc.habitat","dwc.ownerInstitutionCode","dwc.samplingEffort","dwc.dynamicProperties","dwc.decimalLongitude","inhs.locationTrs","dwc.relatedResourceID","idigbio.associatedRelationship","idigbio.associateAuthor","dwc.verbatimDepth","dcterms.reference","dwc.rightsHolder","dwc.minimumElevationInMeters","dcterms.bibliographicCitation","dwc.bed","dwc.nomenclaturalCode","dwc.year","dwc.verbatimElevation","idigbio.tribe","dwc.specificEpithet","inhs.juv_females","dwc.lithostratigraphicTerms","dwc.occurrenceStatus","idigbio.dateModified","idigbio.etag","dwc.otherCatalogNumbers"
"241",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","918702c7-1221-4b8a-8764-eb25b0a85399",NA,NA,NA,NA,NA,"USA",NA,NA,NA,"",NA,"","Hawaii Island",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Hawaiian Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"9790F8B6-2A4C-4800-B37C-0574F204A1EA",NA,NA,"","",NA,NA,NA,"",NA,NA,"Aspidochirotida","936-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",19.3185,NA,"",NA,"",NA,"918702c7-1221-4b8a-8764-eb25b0a85399",NA,NA,"",NA,NA,NA,"BHAW-002","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-155.884833333333,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T16:28:40.486Z","ea14eaf86f4c0538b35f1033e5d29d9c1cb29e43",""
"298",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","3cc12701-37f0-4d53-a2e0-c0cf37085818",NA,NA,NA,NA,NA,"French Polynesia",NA,NA,10,"",NA,"","Moorea Island",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Society Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"51CB0CF2-A9C4-411B-B9D0-31D4C5CEC5B4",NA,NA,"","",NA,NA,NA,"Sarah McPherson, Gustav Paulay, Seabird McKeon, Phillippe Bacchet, Jean Letournaux",NA,NA,"Aspidochirotida","9879-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",-17.597753,NA,"",NA,"",12,"3cc12701-37f0-4d53-a2e0-c0cf37085818",NA,NA,"",NA,NA,NA,"BIZ-276","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-149.842083,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",2009,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T17:09:16.661Z","b6c1955b392013ebe473f0cb67d3fccb84412c1d",""
"515",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","f52e2c48-1d48-42f8-b3f4-d3cf16bf4760",NA,NA,NA,NA,NA,"Kiribati",NA,NA,6,"",NA,"","",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"B7B309B2-29CA-4316-88FB-D3D7F82B9293",NA,NA,"","",NA,NA,NA,"François Michonneau, Nancy Knowlton",NA,NA,"Aspidochirotida","16006-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",-9.91,NA,"",NA,"",11,"f52e2c48-1d48-42f8-b3f4-d3cf16bf4760",NA,NA,"",NA,NA,NA,"SLI13_ST140","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-150.21,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",2013,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T17:59:25.250Z","5c92a2593ec6fc943b540ef41a54ab9e9e7f8f78",""
"517",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","6ce034a8-0ce6-4927-bc9b-bac7f00f103f",NA,NA,NA,NA,NA,"Saudi Arabia",NA,NA,10,"",NA,"","",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"B04FFA4B-91FC-4692-815C-BCB70527BD7A",NA,NA,"","",NA,NA,NA,"Mike Berumen, Gustav Paulay",NA,NA,"Aspidochirotida","12181-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",22.2740833333333,NA,"",NA,"",10,"6ce034a8-0ce6-4927-bc9b-bac7f00f103f",NA,NA,"",NA,NA,NA,"DJRS-039","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",39.0512,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",2012,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T17:43:49.686Z","c3002ab6449a40b35127f0a0a1eba20741040ad9",""
"693",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","0ff8fd93-f4be-43a3-9c58-8a8e6b2c7984",NA,NA,NA,NA,NA,"USA",NA,NA,25,"",NA,"","Oahu Island",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Hawaiian Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"5D6B0AEF-A46E-409B-B04C-22A587C027ED",NA,NA,"","",NA,NA,NA,"J. Earle, J. Hoover, G. Paulay",NA,NA,"Aspidochirotida","4813-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",21.2971333333333,NA,"",NA,"",2,"0ff8fd93-f4be-43a3-9c58-8a8e6b2c7984",NA,NA,"",NA,NA,NA,"GP-Loc-854","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-157.929,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",2006,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T10:03:27.364Z","adcdba6ff7be213c7a046cf255a49b7edb3a5bc1",""
"734",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","0cae161c-1b6f-4059-9b0d-8350ab1f9bf5",NA,NA,NA,NA,NA,"Australia",NA,NA,14,"",NA,"","",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"EE28380B-B0EC-4E6D-8923-93A19F929578",NA,NA,"","",NA,NA,NA,"Molly Timmers",NA,NA,"Aspidochirotida","8316-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",NA,NA,"",NA,"",2,"0cae161c-1b6f-4059-9b0d-8350ab1f9bf5",NA,NA,"",NA,NA,NA,"AUST-ST-044","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",2009,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T09:15:57.173Z","ca65e0d499f1afdd9074c748cea478d03ba064c8",""
"771",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","9e33b7c5-654d-453c-a689-5733ed468dae",NA,NA,NA,NA,NA,"Cook Islands",NA,NA,7,"",NA,"","Mauke Island",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"704E2BD3-2B1B-4346-A955-1DC52BD030DE",NA,NA,"","",NA,NA,NA,"Paulay, G.",NA,NA,"Aspidochirotida","1977-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",NA,NA,"",NA,"",12,"9e33b7c5-654d-453c-a689-5733ed468dae",NA,NA,"",NA,NA,NA,"HMAK-010A","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",1984,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T15:15:31.592Z","fed9edd21e563968d49f2aef3f53900a0ca12225",""
"1016",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","aaafbe94-faeb-46f3-9b3a-4e898d58dd68",NA,NA,NA,NA,NA,"French Polynesia",NA,NA,23,"",NA,"","Moorea Island",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Society Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"24BCAD2F-42D4-40C4-B06F-7C9E4A8E78CC",NA,NA,"","",NA,NA,NA,"C. Meyer, S. McKeon, J. Moore, S. Fay, G. Paulay, Albert",NA,NA,"Aspidochirotida","8007-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",-17.51448,NA,"",NA,"",10,"aaafbe94-faeb-46f3-9b3a-4e898d58dd68",NA,NA,"",NA,NA,NA,"MIB_112","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-149.7616,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",2008,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T09:37:54.340Z","9969d76ad43742afd057e81a84f46b00b167bc74",""
"1079",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","7feab9bf-1bc2-4241-b8b7-e9b10cc8787e",NA,NA,NA,NA,NA,"Niue Island",NA,NA,6,"",NA,"","Niue Island",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Niue Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"DB7E5171-6DFA-4FE1-BB92-BF91FFA1EFE5",NA,NA,"","",NA,NA,NA,"",NA,NA,"Aspidochirotida","1881-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",-19.1,NA,"",NA,"",7,"7feab9bf-1bc2-4241-b8b7-e9b10cc8787e",NA,NA,"",NA,NA,NA,"HNIUE-047","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-169.9,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",1986,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T16:07:32.183Z","4d17c664fcd11efc66fd5bae0084727c85701caf",""
"1094",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","cfde1d3e-220e-4f6a-96b2-41784e587953",NA,NA,NA,NA,NA,"USA",NA,NA,2,"",NA,"","Maui Island",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Hawaiian Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"A0A72034-12D2-4424-B82B-C1E2A911CE68",NA,NA,"","",NA,NA,NA,"Pittman, C.",NA,NA,"Aspidochirotida","56-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",NA,NA,"",NA,"",8,"cfde1d3e-220e-4f6a-96b2-41784e587953",NA,NA,"",NA,NA,NA,"56-4","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",1,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T18:00:12.155Z","ad8c2f3dee55ce1a7cd3c2184b31f4a212a1bfe4",""
"1154",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","ab1c1dcc-e941-4d12-ac24-0ef37dfaf2e9",NA,NA,NA,NA,NA,"French Polynesia",NA,NA,21,"",NA,"","Moorea Island",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Society Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"C840F312-A216-4F2E-8A90-9144C76476F8",NA,NA,"","",NA,NA,NA,"S. McKeon, J. Moore, G. Paulay",NA,NA,"Aspidochirotida","8003-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",-17.57789,NA,"",NA,"",10,"ab1c1dcc-e941-4d12-ac24-0ef37dfaf2e9",NA,NA,"",NA,NA,NA,"MIB_093","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-149.87683,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",2008,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T14:04:17.485Z","e62848b4cdda814b7ab5dc6d973a0be1a44f7601",""
"1160",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","cd2401f2-44db-4503-bc53-5c39ab0df1c2",NA,NA,NA,NA,NA,"French Polynesia",NA,NA,2,"",NA,"","Moorea Island",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Society Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"54ACBC81-49E6-4B2F-8960-E31E01A31674",NA,NA,"","",NA,NA,NA,"Christian McKeon, Chris Meyer, Gustav Paulay",NA,NA,"Aspidochirotida","5264-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",-17.4842,NA,"",NA,"",8,"cd2401f2-44db-4503-bc53-5c39ab0df1c2",NA,NA,"",NA,NA,NA,"GP-Loc-896","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-149.8578,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",2006,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T14:17:10.701Z","0dc4849bd32eaf69e582b3dff81f54415f661369",""
"1275",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","6afda544-4543-4d05-8956-5595ddc549ae",NA,NA,NA,NA,NA,"USA",NA,NA,4,"",NA,"","Hawaii",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Hawaiian Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"44A38F00-1CCB-498E-B2AF-38CB446E4FE4",NA,NA,"","",NA,NA,NA,"Paulay, G.",NA,NA,"Aspidochirotida","1764-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",19.4769166666667,NA,"",NA,"",11,"6afda544-4543-4d05-8956-5595ddc549ae",NA,NA,"",NA,NA,NA,"BHAW-007","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-155.939861111111,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",1997,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T16:34:56.892Z","8f6a9ffd2b3cf7b21734b37f414a523e9e56f7ef",""
"1282",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","Holothuria hawaiiensis","Holothuria",NA,NA,NA,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,"Holothuroidea","92c23708-a993-4336-bd82-089d15f1963c",NA,NA,NA,NA,NA,"French Polynesia",NA,NA,10,"",NA,"","Rangiroa Atoll",NA,NA,"","",NA,NA,NA,NA,"","FLMNH",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Tuamotu Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,"49FFA9D7-6411-499C-AB78-6683C14F52EC",NA,NA,"","",NA,NA,NA,"Paulay, G.",NA,NA,"Aspidochirotida","634-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"Fisher","",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"",NA,"",NA,"",-14.9833333333333,NA,"",NA,"",10,"92c23708-a993-4336-bd82-089d15f1963c",NA,NA,"",NA,NA,NA,"BRNG-010","","09/08/2014",NA,NA,"",NA,NA,"","","",NA,"",-147.616666666667,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",2001,NA,NA,"hawaiiensis",NA,NA,NA,"2014-09-12T16:01:57.393Z","ff81f9ab5085110a6d453c0c05b76c7115f17355",""
